payer_id,payer_name,payer_country,payer_service,payer_currency,transaction_type,min_amount,max_amount,precision,increment,required_sender,required_beneficiary,credit_party_identifiers_accepted,credit_party_information,credit_party_verification,credit_party_information_credit_party_identifiers_accepted,credit_party_verification_credit_party_identifiers_accepted,credit_party_verification_required_receiving_entity_fields,required_documents
1011,Basic Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1012,BRAC Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1015,CITI Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1016,Commercial Bank of Cyclon,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1017,Dhaka Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1018,Dutch-Bangla Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1019,Eastern Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1020,EXIM Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1021,First Security Islami Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1059,Global Islami Bank Ltd (ex-NRB Global Bank),Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1022,Habib Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1023,HongKong & Shanghai Banking Corp. (HSBC),Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1045,ICB Islamic Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1024,IFIC Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1025,Islami Bank Bangladesh,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1026,Jamuna Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1027,Janata Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1054,Meghna Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1028,Mercantile Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1056,Midland Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1058,Modhumoti Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1061,Mutual Trust Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number""]]",1,1,"[[""bank_account_number""]]","[[""bank_account_number""]]",,
1029,National Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1030,National Bank of Pakistan,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1031,National Credit & Commerce Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1057,NRB Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1051,NRB Commercial Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1032,One Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1055,Padma Bank Limited (ex-The Farmers Bank Ltd),Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1033,Prime Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1034,Pubali Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1035,Rajshahi Krishi Unnayan bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1036,Rupali Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1053,SBAC Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1037,Shahjalal Islami Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1060,Shimanto Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1038,Social Islami Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1039,Sonali Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1040,SouthEast bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1041,Standard Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1042,Standard Chartered Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1043,State Bank of India,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1044,The City Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1046,The Premier Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1047,Trust Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1052,Union Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1048,United Commercial Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1049,Uttara Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1050,Woori Bank,Bangladesh,BankAccount,BDT,C2C,0,,2,0.01,"[[""lastname"", ""address"", ""city"", ""country_iso_code""]]","[[""lastname""]]","[[""bank_account_number"", ""branch_number""], [""bank_account_number"", ""swift_bic_code""]]",1,1,,,,
1443,Major Banks Benin,Benin,BankAccount,XOF,C2C,0,1000000,0,1,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""iban""]]",1,1,,,,
1443,Major Banks Benin,Benin,BankAccount,XOF,B2B,0,1000000,0,1,"[[""registered_name"", ""country_iso_code""]]","[[""registered_name"", ""country_iso_code""]]","[[""iban""]]",1,1,,,,"[[""invoice""]]"
565,Orange Money,Botswana,MobileWallet,BWP,C2C,25,9500,2,0.01,"[[""country_iso_code"", ""msisdn""], [""code"", ""country_iso_code""]]",,"[[""msisdn""]]",1,1,"[[""msisdn""]]","[[""msisdn""]]",,
2778,BANCO AGIBANK,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
1629,BANCO ALFA S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
1631,BANCO BMG S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
765,BANCO BRADESCO S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
773,BANCO COOPERATIVO DO BRASIL S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
772,BANCO COOPERATIVO SICREDI S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
2787,BANCO CRESOL,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
2788,BANCO DAYCOVAL,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
751,BANCO DO BRASIL S.A,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
760,BANCO DO ESTADO DE SERGIPE S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
758,BANCO DO ESTADO DO PARA S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
759,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
753,BANCO DO NORDESTE DO BRASIL S.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
1632,BANCO INDUSVAL S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
999,BANCO INTERMEDIUM S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
767,BANCO ITAU S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
2791,BANCO J.P. MORGAN S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
768,BANCO MERCANTIL DO BRASIL S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
2792,BANCO MODAL,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
1633,BANCO ORIGINAL S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
2793,BANCO RENDIMENTO,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
2794,BANCO RENNER,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
770,BANCO SAFRA S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
756,BANCO SANTANDER BRASIL S.A,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
1634,BANCO SOFISA S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
2795,BANCO VOTORANTIM,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
755,BANESTES S.A BANCO DO ESTADO DO ESPIRITO SANTO,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
2796,BCO BS2,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
761,BRB - BANCO DE BRASILIA S.A.,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
763,CAIXA ECONOMICA FEDERAL,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
2797,CCC NOROESTE BRASILEIRO LTDA,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
762,COOPERATIVA CENTRAL DE CREDITO URBANO - CECRED,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
2798,NUBANK,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
2799,PAGSEGURO,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
764,UNICRED DO BRASIL,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
2800,UNICRED NORTE DO PARANA,Brazil,BankAccount,BRL,C2C,10,,2,0.01,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""id_number""]]","[[""bank_account_number"", ""branch_number"", ""account_type""]]",1,1,,,,
1444,Major Banks Burkina Faso,Burkina Faso,BankAccount,XOF,C2C,0,1000000,0,1,"[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""lastname"", ""firstname"", ""country_iso_code""]]","[[""iban""]]",1,1,,,,
1444,Major Banks Burkina Faso,Burkina Faso,BankAccount,XOF,B2B,0,1000000,0,1,"[[""registered_name"", ""country_iso_code""]]","[[""registered_name"", ""country_iso_code""]]","[[""iban""]]",1,1,,,,"[[""invoice""]]"
958,Ecocash,Burundi,MobileWallet,BIF,C2C,1000,10000000.00000000,0,1,,,"[[""msisdn""]]",1,1,,,,
4715,ADS Canadian Bank,Canada,BankAccount,CAD,B2B,0,100000,2,0.01,"[[""registered_name""]]","[[""registered_name""]]","[[""routing_code"", ""account_number""]]",1,1,,,,
4715,ADS Canadian Bank,Canada,BankAccount,CAD,B2C,0,100000,2,0.01,"[[""registered_name""]]","[[""lastname"", ""firstname""]]","[[""routing_code"", ""account_number""]]",1,1,,,,
